"terms","count","probability"
"for the first time",356,0.0103104726598702
"the rest of the",349,0.0101077386468953
"thanks for the follow",313,0.00906510658016682
"at the same time",288,0.00834105653382762
"is going to be",233,0.00674814643188137
"one of the most",227,0.00657437442075996
"is one of the",219,0.00634267840593142
"to be able to",210,0.00608202038924931
"i dont want to",184,0.00532900834105653
"going to be a",182,0.0052710843373494
"when it comes to",175,0.00506835032437442
"thanks for the rt",173,0.00501042632066728
"at the of the",170,0.00492354031510658
"in the middle of",165,0.00477873030583874
"if you want to",162,0.00469184430027804
"one of the best",162,0.00469184430027804
"cant wait to see",159,0.00460495829471733
"thank you for the",156,0.00451807228915663
"thank you so much",142,0.00411260426320667
"i cant wait to",141,0.00408364226135311
"its going to be",132,0.00382298424467099
"the top of the",125,0.00362025023169602
"in the united states",123,0.00356232622798888
"one of my favorite",123,0.00356232622798888
"was one of the",122,0.00353336422613531
"i am going to",118,0.00341751621872104
"for the rest of",114,0.00330166821130677
"i was going to",114,0.00330166821130677
"i would like to",111,0.00321478220574606
"on the other hand",111,0.00321478220574606
"the first time in",107,0.00309893419833179
"a lot of people",104,0.00301204819277108
"i want to be",104,0.00301204819277108
"have a great day",102,0.00295412418906395
"i would love to",99,0.00286723818350324
"a bit of a",97,0.00280931417979611
"to go to the",97,0.00280931417979611
"said in a statement",95,0.00275139017608897
"the middle of the",95,0.00275139017608897
"a member of the",94,0.0027224281742354
"as well as the",94,0.0027224281742354
"i thought it was",94,0.0027224281742354
"the bottom of the",94,0.0027224281742354
"what do you think",94,0.0027224281742354
"as much as i",93,0.00269346617238184
"at the university of",92,0.00266450417052827
"i just want to",92,0.00266450417052827
"in front of the",91,0.0026355421686747
"will be able to",90,0.00260658016682113
"i dont know what",88,0.00254865616311399
"going to have to",85,0.00246177015755329
"i dont know if",85,0.00246177015755329
"hope to see you",84,0.00243280815569972
"in the block of",83,0.00240384615384615
"in the first place",83,0.00240384615384615
"the best way to",82,0.00237488415199259
"have a lot of",81,0.00234592215013902
"i wish i could",81,0.00234592215013902
"the back of the",79,0.00228799814643188
"i look forward to",78,0.00225903614457831
"you dont have to",78,0.00225903614457831
"i dont know how",77,0.00223007414272475
"as one of the",75,0.00217215013901761
"the beginning of the",75,0.00217215013901761
"a little bit of",74,0.00214318813716404
"for a long time",74,0.00214318813716404
"are you going to",73,0.00211422613531047
"at the top of",72,0.0020852641334569
"i have to say",72,0.0020852641334569
"thanks so much for",72,0.0020852641334569
"let me know if",71,0.00205630213160334
"a lot of the",70,0.00202734012974977
"have a great weekend",70,0.00202734012974977
"looking forward to the",70,0.00202734012974977
"on my way to",70,0.00202734012974977
"had a great time",69,0.0019983781278962
"as part of the",68,0.00196941612604263
"by the of the",68,0.00196941612604263
"as a result of",67,0.00194045412418906
"i dont have a",67,0.00194045412418906
"nothing to do with",67,0.00194045412418906
"was going to be",67,0.00194045412418906
"at the beginning of",66,0.0019114921223355
"i have no idea",66,0.0019114921223355
"i was able to",66,0.0019114921223355
"hope you have a",65,0.00188253012048193
"so much for the",65,0.00188253012048193
"the first time i",65,0.00188253012048193
"a lot of fun",64,0.00185356811862836
"do you have a",64,0.00185356811862836
"if you have a",64,0.00185356811862836
"im not going to",63,0.00182460611677479
"as soon as i",62,0.00179564411492122
"be one of the",62,0.00179564411492122
"on the other side",62,0.00179564411492122
"thanks for the mention",62,0.00179564411492122
"the of the day",62,0.00179564411492122
"trying to figure out",62,0.00179564411492122
"as well as a",61,0.00176668211306766
"i didnt want to",61,0.00176668211306766
"one of the first",61,0.00176668211306766
"that awkward moment when",61,0.00176668211306766
"there are so many",61,0.00176668211306766
"in new york city",60,0.00173772011121409
"in the form of",60,0.00173772011121409
"you dont want to",60,0.00173772011121409
"a lot of time",59,0.00170875810936052
"of the united states",59,0.00170875810936052
"to do with the",59,0.00170875810936052
"a few weeks ago",58,0.00167979610750695
"are going to be",58,0.00167979610750695
"im going to be",58,0.00167979610750695
"is one of my",58,0.00167979610750695
"it would be a",58,0.00167979610750695
"on top of the",58,0.00167979610750695
"at a time when",57,0.00165083410565338
"to be in the",57,0.00165083410565338
"to get out of",57,0.00165083410565338
"to take care of",57,0.00165083410565338
"we are going to",57,0.00165083410565338
"a couple of weeks",56,0.00162187210379981
"a few years ago",56,0.00162187210379981
"i dont have to",56,0.00162187210379981
"i wish i had",56,0.00162187210379981
"to get back to",56,0.00162187210379981
"do you want to",55,0.00159291010194625
"find a way to",55,0.00159291010194625
"i dont even know",55,0.00159291010194625
"in the late s",55,0.00159291010194625
"there will be a",55,0.00159291010194625
"this is going to",55,0.00159291010194625
"when i was a",55,0.00159291010194625
"for the most part",54,0.00156394810009268
"i dont think i",54,0.00156394810009268
"i really want to",54,0.00156394810009268
"in addition to the",54,0.00156394810009268
"in the midst of",54,0.00156394810009268
"looking forward to it",54,0.00156394810009268
"the side of the",54,0.00156394810009268
"to go back to",54,0.00156394810009268
"turned out to be",54,0.00156394810009268
"you so much for",54,0.00156394810009268
"a great way to",53,0.00153498609823911
"for the shout out",53,0.00153498609823911
"had a lot of",53,0.00153498609823911
"i feel like i",53,0.00153498609823911
"i need to get",53,0.00153498609823911
"i want to go",53,0.00153498609823911
"in the first half",53,0.00153498609823911
"on the way to",53,0.00153498609823911
"thank you for your",53,0.00153498609823911
"the other side of",53,0.00153498609823911
"in the back of",52,0.00150602409638554
"it was a good",52,0.00150602409638554
"it was a great",52,0.00150602409638554
"looking forward to seeing",52,0.00150602409638554
"should be able to",52,0.00150602409638554
"take a look at",52,0.00150602409638554
"thanks for the shout",52,0.00150602409638554
"to be one of",52,0.00150602409638554
"and the rest of",51,0.00147706209453197
"i dont know why",51,0.00147706209453197
"a chance to win",50,0.00144810009267841
"a great deal of",50,0.00144810009267841
"be a part of",50,0.00144810009267841
"did you know that",50,0.00144810009267841
"dont want to be",50,0.00144810009267841
"happy mothers day to",50,0.00144810009267841
"im looking forward to",50,0.00144810009267841
"in front of me",50,0.00144810009267841
"in the second half",50,0.00144810009267841
"there are a lot",50,0.00144810009267841
"you have a great",50,0.00144810009267841
"you want to be",50,0.00144810009267841
"in the case of",49,0.00141913809082484
"the fact that i",49,0.00141913809082484
"want to go to",49,0.00141913809082484
"are a lot of",48,0.00139017608897127
"in the s and",48,0.00139017608897127
"this is one of",48,0.00139017608897127
"for the sake of",47,0.0013612140871177
"have no idea what",47,0.0013612140871177
"most of the time",47,0.0013612140871177
"one of the few",47,0.0013612140871177
"the fact that the",47,0.0013612140871177
"was supposed to be",47,0.0013612140871177
"you are going to",47,0.0013612140871177
"you have to do",47,0.0013612140871177
"cant wait to get",46,0.00133225208526413
"contributed to this report",46,0.00133225208526413
"in the first quarter",46,0.00133225208526413
"in the name of",46,0.00133225208526413
"the only way to",46,0.00133225208526413
"to come up with",46,0.00133225208526413
"wait to see you",46,0.00133225208526413
"at the time of",45,0.00130329008341057
"do you have any",45,0.00130329008341057
"for those of you",45,0.00130329008341057
"i went to the",45,0.00130329008341057
"in front of a",45,0.00130329008341057
"out of the way",45,0.00130329008341057
"thank you to all",45,0.00130329008341057
"the front of the",45,0.00130329008341057
"the only thing that",45,0.00130329008341057
"this is not a",45,0.00130329008341057
"this is the first",45,0.00130329008341057
"thought it would be",45,0.00130329008341057
"to be part of",45,0.00130329008341057
"to make sure that",45,0.00130329008341057
"you have to be",45,0.00130329008341057
"all over the world",44,0.001274328081557
"can i get a",44,0.001274328081557
"dont know what to",44,0.001274328081557
"executive director of the",44,0.001274328081557
"from am to pm",44,0.001274328081557
"in a way that",44,0.001274328081557
"in one of the",44,0.001274328081557
"in the early s",44,0.001274328081557
"other side of the",44,0.001274328081557
"thanks for the ff",44,0.001274328081557
"the center of the",44,0.001274328081557
"the first time since",44,0.001274328081557
"the new york times",44,0.001274328081557
"the start of the",44,0.001274328081557
"this time of year",44,0.001274328081557
"those of you who",44,0.001274328081557
"to keep up with",44,0.001274328081557
"as part of a",43,0.00124536607970343
"forward to seeing you",43,0.00124536607970343
"hope all is well",43,0.00124536607970343
"i cant wait for",43,0.00124536607970343
"i feel like im",43,0.00124536607970343
"i had no idea",43,0.00124536607970343
"i love you so",43,0.00124536607970343
"i want to do",43,0.00124536607970343
"in the process of",43,0.00124536607970343
"is part of the",43,0.00124536607970343
"know what to do",43,0.00124536607970343
"what are you doing",43,0.00124536607970343
"all of a sudden",42,0.00121640407784986
"and a lot of",42,0.00121640407784986
"as long as you",42,0.00121640407784986
"figure out how to",42,0.00121640407784986
"have a chance to",42,0.00121640407784986
"let us know if",42,0.00121640407784986
"on the side of",42,0.00121640407784986
"thanks to everyone who",42,0.00121640407784986
"theres a lot of",42,0.00121640407784986
"to be a good",42,0.00121640407784986
"a spokesman for the",41,0.00118744207599629
"all the way to",41,0.00118744207599629
"come up with a",41,0.00118744207599629
"i just wanted to",41,0.00118744207599629
"i thought i was",41,0.00118744207599629
"makes me want to",41,0.00118744207599629
"over the course of",41,0.00118744207599629
"wont be able to",41,0.00118744207599629
"awkward moment when you",40,0.00115848007414272
"get out of the",40,0.00115848007414272
"if you dont have",40,0.00115848007414272
"in an effort to",40,0.00115848007414272
"it will be a",40,0.00115848007414272
"may or may not",40,0.00115848007414272
"not going to be",40,0.00115848007414272
"the name of the",40,0.00115848007414272
"to figure out how",40,0.00115848007414272
"to get to the",40,0.00115848007414272
"to look at the",40,0.00115848007414272
"a part of the",39,0.00112951807228916
"at the age of",39,0.00112951807228916
"dont get me wrong",39,0.00112951807228916
"for a few days",39,0.00112951807228916
"have to go to",39,0.00112951807228916
"i wish i was",39,0.00112951807228916
"if you have any",39,0.00112951807228916
"in the face of",39,0.00112951807228916
"is one of those",39,0.00112951807228916
"love you so much",39,0.00112951807228916
"said in an interview",39,0.00112951807228916
"the only one who",39,0.00112951807228916
"the way to the",39,0.00112951807228916
"to be a part",39,0.00112951807228916
"what is your favorite",39,0.00112951807228916
"and one of the",38,0.00110055607043559
"as a way to",38,0.00110055607043559
"at the bottom of",38,0.00110055607043559
"from time to time",38,0.00110055607043559
"i am not sure",38,0.00110055607043559
"i was in the",38,0.00110055607043559
"if you are a",38,0.00110055607043559
"in a long time",38,0.00110055607043559
"in the history of",38,0.00110055607043559
"in the way of",38,0.00110055607043559
"it would have been",38,0.00110055607043559
"me know if you",38,0.00110055607043559
"the rest of my",38,0.00110055607043559
"was the first time",38,0.00110055607043559
"would have been a",38,0.00110055607043559
"would love to see",38,0.00110055607043559
"and i have to",37,0.00107159406858202
"i hate it when",37,0.00107159406858202
"i have to do",37,0.00107159406858202
"i have to go",37,0.00107159406858202
"i was trying to",37,0.00107159406858202
"in the bottom of",37,0.00107159406858202
"it has been a",37,0.00107159406858202
"more than a year",37,0.00107159406858202
"one of the things",37,0.00107159406858202
"some of the most",37,0.00107159406858202
"the past two years",37,0.00107159406858202
"the time of the",37,0.00107159406858202
"to the point where",37,0.00107159406858202
"with the help of",37,0.00107159406858202
"you would like to",37,0.00107159406858202
"a few of the",36,0.00104263206672845
"as you can see",36,0.00104263206672845
"i have to admit",36,0.00104263206672845
"i think this is",36,0.00104263206672845
"in the fourth quarter",36,0.00104263206672845
"is not going to",36,0.00104263206672845
"mothers day to all",36,0.00104263206672845
"on the back of",36,0.00104263206672845
"over and over again",36,0.00104263206672845
"some of the best",36,0.00104263206672845
"we look forward to",36,0.00104263206672845
"what to do with",36,0.00104263206672845
"a couple of years",35,0.00101367006487488
"cant wait for the",35,0.00101367006487488
"had a chance to",35,0.00101367006487488
"i want to see",35,0.00101367006487488
"in and out of",35,0.00101367006487488
"in the first round",35,0.00101367006487488
"it was the first",35,0.00101367006487488
"make it to the",35,0.00101367006487488
"thanks for following me",35,0.00101367006487488
"that there is a",35,0.00101367006487488
"the s and s",35,0.00101367006487488
"the size of the",35,0.00101367006487488
"those of us who",35,0.00101367006487488
"to get rid of",35,0.00101367006487488
"want to be a",35,0.00101367006487488
"a couple of days",34,0.000984708063021316
"am i the only",34,0.000984708063021316
"both sides of the",34,0.000984708063021316
"for more than a",34,0.000984708063021316
"have been able to",34,0.000984708063021316
"i am so excited",34,0.000984708063021316
"i can tell you",34,0.000984708063021316
"i need to be",34,0.000984708063021316
"i thought i would",34,0.000984708063021316
"im going to have",34,0.000984708063021316
"in the wake of",34,0.000984708063021316
"it was going to",34,0.000984708063021316
"let me know what",34,0.000984708063021316
"my husband and i",34,0.000984708063021316
"not be able to",34,0.000984708063021316
"of the block of",34,0.000984708063021316
"the of the year",34,0.000984708063021316
"to all of you",34,0.000984708063021316
"to hear from you",34,0.000984708063021316
"when i was in",34,0.000984708063021316
"a whole lot of",33,0.000955746061167748
"do not want to",33,0.000955746061167748
"for a couple of",33,0.000955746061167748
"have to do is",33,0.000955746061167748
"i dont have any",33,0.000955746061167748
"im not sure if",33,0.000955746061167748
"in a couple of",33,0.000955746061167748
"know what you think",33,0.000955746061167748
"look forward to seeing",33,0.000955746061167748
"no such thing as",33,0.000955746061167748
"of one of the",33,0.000955746061167748
"one of the reasons",33,0.000955746061167748
"the first half of",33,0.000955746061167748
"the next few days",33,0.000955746061167748
"the rest of us",33,0.000955746061167748
"would have to be",33,0.000955746061167748
"would you like to",33,0.000955746061167748
"you for the follow",33,0.000955746061167748
"as long as i",32,0.00092678405931418
"at the start of",32,0.00092678405931418
"for a chance to",32,0.00092678405931418
"for a few minutes",32,0.00092678405931418
"i am not a",32,0.00092678405931418
"i think it is",32,0.00092678405931418
"if you are not",32,0.00092678405931418
"in the right direction",32,0.00092678405931418
"not being able to",32,0.00092678405931418
"on a regular basis",32,0.00092678405931418
"on one of the",32,0.00092678405931418
"thank you for following",32,0.00092678405931418
"the last couple of",32,0.00092678405931418
"this is why i",32,0.00092678405931418
"you want to do",32,0.00092678405931418
"a lot of money",31,0.000897822057460612
"be able to get",31,0.000897822057460612
"do you know what",31,0.000897822057460612
"going to have a",31,0.000897822057460612
"have a hard time",31,0.000897822057460612
"he was going to",31,0.000897822057460612
"i need to go",31,0.000897822057460612
"i want to make",31,0.000897822057460612
"in the next few",31,0.000897822057460612
"is a lot of",31,0.000897822057460612
"is the first time",31,0.000897822057460612
"of the th century",31,0.000897822057460612
"one of the greatest",31,0.000897822057460612
"over the past few",31,0.000897822057460612
"thank you very much",31,0.000897822057460612
"the quality of the",31,0.000897822057460612
"to be on the",31,0.000897822057460612
"to be the best",31,0.000897822057460612
"to the fact that",31,0.000897822057460612
"to the top of",31,0.000897822057460612
"we were able to",31,0.000897822057460612
"with a lot of",31,0.000897822057460612
"you can see the",31,0.000897822057460612
"a good way to",30,0.000868860055607044
"and i want to",30,0.000868860055607044
